                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4845,                 3.0646,                 1.2689,                0.00685,                0.63356,                0.04374,                0.02396,                 1.4685,                 3.0121,                0.93125,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.4865,                 2.6209,                 1.2082,                0.00741,                0.68493,                 0.1006,                0.06653,                 1.2932,                 2.6038,                0.92224,                0.06113,              0.0041297,              0.0041297
                      2,                 1.4242,                 1.7345,                 1.1359,                0.65638,                0.11123,                0.22628,                  0.121,                 1.5537,                 2.2283,                 1.0093,               0.040985,              0.0059852,              0.0059852
                      3,                 1.4781,                 1.4724,                 1.1329,                0.65716,                0.15753,                0.22545,                0.14275,                 1.4463,                 2.0154,                 1.0159,               0.020666,              0.0076664,              0.0076664
                      4,                 1.4725,                 1.3868,                 1.1318,                0.55674,                0.29452,                0.33457,                0.17564,                 1.5999,                 1.6699,                 1.0919,               0.008416,               0.008416,               0.008416
                      5,                 1.4526,                  1.407,                 1.1402,                0.61343,                0.30137,                0.34178,                0.16539,                 1.6544,                 1.6145,                 1.0437,               0.008416,               0.008416,               0.008416
                      6,                 1.4147,                  1.329,                 1.1196,                0.59782,                0.42761,                0.45124,                0.23026,                 1.5002,                 1.3083,                 1.0026,                0.00802,                0.00802,                0.00802
                      7,                  1.388,                 1.2778,                 1.1199,                0.59697,                0.43151,                0.45703,                 0.2328,                 1.5725,                 1.3126,                 1.0467,               0.007624,               0.007624,               0.007624
                      8,                 1.4108,                 1.2345,                 1.1172,                0.54148,                0.35274,                0.37431,                 0.1916,                 1.5157,                 1.4883,                 1.0312,               0.007228,               0.007228,               0.007228
                      9,                 1.4558,                 1.2882,                 1.1175,                0.50943,                0.43388,                0.42947,                0.21467,                 1.5305,                 1.3665,                 1.0167,               0.006832,               0.006832,               0.006832
                     10,                 1.3711,                 1.2138,                 1.0845,                0.59983,                0.50307,                0.48792,                0.23489,                 1.5035,                 1.3082,                 1.0079,               0.006436,               0.006436,               0.006436
                     11,                   1.38,                 1.2157,                  1.094,                0.61683,                0.37329,                0.43391,                 0.2334,                 1.4428,                 1.2885,                 1.0013,                0.00604,                0.00604,                0.00604
                     12,                 1.3721,                 1.1689,                 1.1052,                0.60799,                0.42123,                0.45087,                0.25497,                 1.3973,                 1.2923,                0.97369,               0.005644,               0.005644,               0.005644
                     13,                 1.3667,                 1.1583,                 1.0736,                0.68915,                0.46233,                0.49764,                0.26998,                 1.3149,                 1.1892,                0.97746,               0.005248,               0.005248,               0.005248
                     14,                 1.2985,                 1.1078,                 1.0689,                0.65296,                0.48971,                0.52371,                0.28501,                 1.3464,                 1.1167,                0.96655,               0.004852,               0.004852,               0.004852
                     15,                 1.2302,                 1.2141,                 1.0069,                0.63595,                0.46575,                0.51347,                0.28902,                 1.4101,                 1.1805,                 1.0032,               0.004456,               0.004456,               0.004456
                     16,                 1.2128,                 1.1264,                 1.0144,                  0.699,                0.46918,                0.53246,                0.29626,                 1.3817,                 1.1464,                 0.9769,                0.00406,                0.00406,                0.00406
                     17,                 1.1669,                 1.0763,                0.99171,                0.70612,                0.47603,                0.55571,                0.31356,                 1.3336,                 1.1439,                0.96639,               0.003664,               0.003664,               0.003664
                     18,                 1.1721,                0.99036,                0.98954,                0.58363,                0.55479,                0.56352,                0.31287,                 1.3078,                 1.1338,                0.94032,               0.003268,               0.003268,               0.003268
                     19,                 1.1851,                 1.0225,                0.99505,                0.67706,                0.46671,                0.54966,                0.31962,                 1.2902,                 1.0554,                0.94226,               0.002872,               0.002872,               0.002872
                     20,                 1.1561,                 1.0062,                0.98799,                0.66279,                0.52055,                0.54386,                0.30437,                 1.2958,                  1.091,                0.94726,               0.002476,               0.002476,               0.002476
                     21,                 1.1219,                0.96605,                0.97546,                0.65276,                0.51027,                0.54223,                0.31777,                 1.2536,                 1.0122,                0.93232,                0.00208,                0.00208,                0.00208
                     22,                  1.105,                0.95576,                0.96296,                0.67709,                0.50267,                0.55812,                0.33005,                 1.2319,                0.97583,                0.92973,               0.001684,               0.001684,               0.001684
                     23,                 1.1097,                0.93743,                0.96578,                0.61271,                0.55479,                0.56525,                0.33433,                 1.2336,                0.96545,                0.92317,               0.001288,               0.001288,               0.001288
                     24,                 1.0743,                 0.9256,                0.97009,                 0.6499,                0.53767,                0.57172,                0.33993,                 1.1997,                0.96106,                0.92132,               0.000892,               0.000892,               0.000892
